"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33574","test_payment_credit","src.tests","Wed Sep 25 15:43:16 WIB 2024","failed","Wed Sep 25 15:43:50 WIB 2024","","test_poskasir","",""
"","42347","test_payment_tunai","src.tests","Tue Sep 24 16:25:52 WIB 2024","passed","Tue Sep 24 16:26:34 WIB 2024","","test_poskasir","",""
"","13543","test_login_success","src.tests","Thu Sep 26 14:52:08 WIB 2024","passed","Thu Sep 26 14:52:22 WIB 2024","","test_login","",""
"","0","test_topupsaldo_success","src.tests","Mon Sep 23 16:15:59 WIB 2024","broken","Mon Sep 23 16:15:59 WIB 2024","","test_topupsaldo","",""
"","5258","test_homepage","src.tests","Thu Sep 26 14:52:22 WIB 2024","passed","Thu Sep 26 14:52:27 WIB 2024","","test_home","",""
"","38655","test_payment_debit","src.tests","Thu Sep 26 14:52:27 WIB 2024","passed","Thu Sep 26 14:53:06 WIB 2024","","test_poskasir","",""
